name,auto_budget,currency,auto_budget_amount,auto_budget_period,attachments
78aO-)&1s4S222,Add an amount every period,8,86609,Yearly,
58vP-)&12vC222,No auto-budget,1,83828,Yearly,Attachments File/Report_1MB.csv
84uP-)&83zG222,Add an amount every period,8,85289,Yearly,Attachments File/Report_1MB.csv
58jP-)&7h5L222,Set a fixed amount every period,8,42658,Weekly,Attachments File/Report_65MB.csv
09bH-)&8nbI222,Add an amount every period and correct for overspending,8,12305,Daily,
12sM-)&6bhG222,Set a fixed amount every period,8,57508,Daily,Attachments File/Report_1MB.csv
20yC-)&1nxR222,Add an amount every period,8,90848,Daily,Attachments File/Report_1MB.csv
91vM-)&4z7B222,No auto-budget,1,58794,Daily,Attachments File/Report_1MB.csv
56rT-)&2m7A222,Add an amount every period and correct for overspending,8,67475,Daily,Attachments File/Report_65MB.csv
46oY-)&46fL222,Add an amount every period,1,87272,Yearly,Attachments File/Report_1MB.csv
92mM-)&9wyG222,No auto-budget,8,11404,Monthly,Attachments File/Report_1MB.csv
23jL-)&8zfS222,Add an amount every period and correct for overspending,1,70336,Weekly,Attachments File/Report_1MB.csv
20xK-)&99oA222,No auto-budget,8,85763,Monthly,Attachments File/Report_1MB.csv
63nL-)&6mhH222,Add an amount every period and correct for overspending,8,97046,Monthly,Attachments File/Report_1MB.csv
,Add an amount every period and correct for overspending,1,77096,Weekly,Attachments File/Report_1MB.csv
43vH-)&7tvN222,Add an amount every period,1,53212,Yearly,
76oQ-)&50rY222,No auto-budget,1,22243,Monthly,
94aN-)&8thY222,Add an amount every period and correct for overspending,1,94853,Daily,Attachments File/Report_1MB.csv
10rJ-)&5mwS222,Add an amount every period and correct for overspending,8,,Daily,Attachments File/Report_1MB.csv
51oS-)&1szN222,Set a fixed amount every period,1,76405,,Attachments File/Report_1MB.csv
91yG-)&7vvR222,Add an amount every period and correct for overspending,8,9021,Daily,
58gI-)&3bdL222,No auto-budget,1,98278,Monthly,
74uA-)&2x1Q222,Set a fixed amount every period,1,96928,Monthly,
39aT-)&8gaI222,Add an amount every period,1,45376,Daily,Attachments File/Report_65MB.csv
31zG-)&5rhG222,Add an amount every period,8,40735,Monthly,Attachments File/Report_1MB.csv
75mU-)&11vG222,No auto-budget,1,,Yearly,Attachments File/Report_1MB.csv
31uE-)&6vdM222,No auto-budget,8,11484,Monthly,Attachments File/Report_1MB.csv
02hC-)&35uN222,Add an amount every period,1,25194,Weekly,Attachments File/Report_1MB.csv
71wF-)&2x1J222,Add an amount every period and correct for overspending,8,67940,,Attachments File/Report_1MB.csv
28iN-)&5twF222,Add an amount every period and correct for overspending,1,41528,Weekly,Attachments File/Report_1MB.csv
,Add an amount every period and correct for overspending,8,82051,Weekly,Attachments File/Report_1MB.csv
25cM-)&6i0A222,Set a fixed amount every period,8,94909,Yearly,Attachments File/Report_1MB.csv
14cV-)&2whD222,No auto-budget,8,1274,,Attachments File/Report_1MB.csv
43fP-)&0lyB222,Set a fixed amount every period,1,,Monthly,
19sN-)&825X222,Add an amount every period,8,41387,Monthly,
77uH-)&0cnI222,Set a fixed amount every period,1,69372,Weekly,Attachments File/Report_65MB.csv
52lT-)&4wjS222,No auto-budget,8,77238,Yearly,Attachments File/Report_1MB.csv
93mI-)&607B222,Add an amount every period,8,18128,Yearly,
89oO-)&77pL222,Add an amount every period,1,71294,Monthly,Attachments File/Report_1MB.csv
90sI-)&4j9Q222,Add an amount every period,8,5253,Daily,Attachments File/Report_1MB.csv
,No auto-budget,8,65568,Weekly,Attachments File/Report_1MB.csv
13rF-)&6suV222,Set a fixed amount every period,8,45081,,Attachments File/Report_1MB.csv
33fE-)&8rdS222,Add an amount every period,1,46445,Yearly,
24cN-)&3vkO222,Set a fixed amount every period,8,61233,Yearly,Attachments File/Report_1MB.csv
88iF-)&4ieF222,Add an amount every period and correct for overspending,1,30445,Monthly,
40jN-)&51eH222,No auto-budget,1,82281,Daily,Attachments File/Report_1MB.csv
23hU-)&4toO222,Set a fixed amount every period,1,50869,Weekly,Attachments File/Report_1MB.csv
12iL-)&1ubX222,Add an amount every period,1,83327,Weekly,Attachments File/Report_1MB.csv
46fV-)&1rrS222,Add an amount every period and correct for overspending,8,,Yearly,Attachments File/Report_1MB.csv
54yN-)&7esR222,Set a fixed amount every period,1,56023,Monthly,Attachments File/Report_1MB.csv
25wH-)&03mB222,Add an amount every period,1,37217,Monthly,Attachments File/Report_1MB.csv
54qU-)&67qG222,No auto-budget,1,36770,Monthly,Attachments File/Report_1MB.csv
38xW-)&26iD222,Set a fixed amount every period,1,42139,Yearly,Attachments File/Report_1MB.csv
25cB-)&4kzJ222,Add an amount every period,8,64483,Yearly,Attachments File/Report_1MB.csv
15vG-)&3wcB222,Set a fixed amount every period,8,65429,Weekly,Attachments File/Report_65MB.csv
11eA-)&1i4S222,Add an amount every period,1,91853,,Attachments File/Report_1MB.csv
89zO-)&0mpO222,Set a fixed amount every period,1,12400,Yearly,Attachments File/Report_1MB.csv
,Set a fixed amount every period,8,70908,Weekly,Attachments File/Report_65MB.csv
63sN-)&482W222,Add an amount every period,1,21336,Daily,Attachments File/Report_1MB.csv
40xK-)&7woI222,No auto-budget,8,98732,Monthly,Attachments File/Report_65MB.csv
52dT-)&19xQ222,No auto-budget,1,48721,Yearly,Attachments File/Report_1MB.csv
,No auto-budget,1,85685,Yearly,Attachments File/Report_1MB.csv
33fS-)&6g4P222,Add an amount every period,1,93526,Yearly,Attachments File/Report_1MB.csv
70eD-)&1pvQ222,Set a fixed amount every period,8,28247,Weekly,
38dY-)&0c2Y222,No auto-budget,1,30915,Daily,Attachments File/Report_1MB.csv
50vX-)&2laX222,Set a fixed amount every period,1,13894,Daily,Attachments File/Report_1MB.csv
13pF-)&1vpT222,No auto-budget,1,46249,Yearly,Attachments File/Report_1MB.csv
,No auto-budget,8,76400,Daily,Attachments File/Report_65MB.csv
10yL-)&8lxA222,Add an amount every period and correct for overspending,1,53948,Monthly,Attachments File/Report_1MB.csv
72mX-)&7vcH222,Set a fixed amount every period,1,33971,Monthly,Attachments File/Report_1MB.csv
86rE-)&91uW222,Set a fixed amount every period,1,55853,Daily,Attachments File/Report_1MB.csv
73rG-)&0muS222,Add an amount every period,1,58407,Monthly,Attachments File/Report_1MB.csv
46pK-)&9aoX222,Set a fixed amount every period,8,64138,Daily,Attachments File/Report_1MB.csv
10bY-)&36iF222,Add an amount every period,8,41338,Yearly,Attachments File/Report_1MB.csv
40hW-)&0tzB222,No auto-budget,1,67842,Monthly,
32pH-)&90qE222,Set a fixed amount every period,8,35997,Daily,Attachments File/Report_65MB.csv
93cE-)&9f8D222,No auto-budget,1,71623,Weekly,Attachments File/Report_1MB.csv
